cohort,from_aoi,to_aoi,mean_count
7-month-olds,man_face,man_body,0.1
7-month-olds,man_face,woman_face,0.1
7-month-olds,man_face,woman_body,0.0
7-month-olds,man_face,toy_present,0.3
7-month-olds,man_face,toy_location,0.0
7-month-olds,man_body,man_face,0.15
7-month-olds,man_body,woman_face,0.05
7-month-olds,man_body,woman_body,0.05
7-month-olds,man_body,toy_present,0.5
7-month-olds,man_body,toy_location,0.0
7-month-olds,woman_face,man_face,0.1
7-month-olds,woman_face,man_body,0.05
7-month-olds,woman_face,woman_body,0.0
7-month-olds,woman_face,toy_present,0.05
7-month-olds,woman_face,toy_location,0.0
7-month-olds,woman_body,man_face,0.15
7-month-olds,woman_body,man_body,0.0
7-month-olds,woman_body,woman_face,0.0
7-month-olds,woman_body,toy_present,0.2
7-month-olds,woman_body,toy_location,0.0
7-month-olds,toy_present,man_face,0.15
7-month-olds,toy_present,man_body,0.1
7-month-olds,toy_present,woman_face,0.1
7-month-olds,toy_present,woman_body,0.35
7-month-olds,toy_present,toy_location,0.0
7-month-olds,toy_location,man_face,0.0
7-month-olds,toy_location,man_body,0.0
7-month-olds,toy_location,woman_face,0.0
7-month-olds,toy_location,woman_body,0.0
7-month-olds,toy_location,toy_present,0.0
8-month-olds,man_face,man_body,0.18181818181818182
8-month-olds,man_face,woman_face,0.045454545454545456
8-month-olds,man_face,woman_body,0.0
8-month-olds,man_face,toy_present,0.22727272727272727
8-month-olds,man_face,toy_location,0.0
8-month-olds,man_body,man_face,0.18181818181818182
8-month-olds,man_body,woman_face,0.09090909090909091
8-month-olds,man_body,woman_body,0.045454545454545456
8-month-olds,man_body,toy_present,0.45454545454545453
8-month-olds,man_body,toy_location,0.0
8-month-olds,woman_face,man_face,0.09090909090909091
8-month-olds,woman_face,man_body,0.0
8-month-olds,woman_face,woman_body,0.0
8-month-olds,woman_face,toy_present,0.045454545454545456
8-month-olds,woman_face,toy_location,0.0
8-month-olds,woman_body,man_face,0.0
8-month-olds,woman_body,man_body,0.09090909090909091
8-month-olds,woman_body,woman_face,0.0
8-month-olds,woman_body,toy_present,0.18181818181818182
8-month-olds,woman_body,toy_location,0.0
8-month-olds,toy_present,man_face,0.22727272727272727
8-month-olds,toy_present,man_body,0.18181818181818182
8-month-olds,toy_present,woman_face,0.09090909090909091
8-month-olds,toy_present,woman_body,0.36363636363636365
8-month-olds,toy_present,toy_location,0.0
8-month-olds,toy_location,man_face,0.0
8-month-olds,toy_location,man_body,0.0
8-month-olds,toy_location,woman_face,0.0
8-month-olds,toy_location,woman_body,0.0
8-month-olds,toy_location,toy_present,0.0
9-month-olds,man_face,man_body,0.13793103448275862
9-month-olds,man_face,woman_face,0.20689655172413793
9-month-olds,man_face,woman_body,0.0
9-month-olds,man_face,toy_present,0.41379310344827586
9-month-olds,man_face,toy_location,0.0
9-month-olds,man_body,man_face,0.3448275862068966
9-month-olds,man_body,woman_face,0.034482758620689655
9-month-olds,man_body,woman_body,0.034482758620689655
9-month-olds,man_body,toy_present,0.27586206896551724
9-month-olds,man_body,toy_location,0.0
9-month-olds,woman_face,man_face,0.20689655172413793
