participant_id,trial_number,condition,participant_age_months,man_face_to_man_body,man_face_to_woman_face,man_face_to_woman_body,man_face_to_toy_present,man_face_to_toy_location,man_body_to_man_face,man_body_to_woman_face,man_body_to_woman_body,man_body_to_toy_present,man_body_to_toy_location,woman_face_to_man_face,woman_face_to_man_body,woman_face_to_woman_body,woman_face_to_toy_present,woman_face_to_toy_location,woman_body_to_man_face,woman_body_to_man_body,woman_body_to_woman_face,woman_body_to_toy_present,woman_body_to_toy_location,toy_present_to_man_face,toy_present_to_man_body,toy_present_to_woman_face,toy_present_to_woman_body,toy_present_to_toy_location,toy_location_to_man_face,toy_location_to_man_body,toy_location_to_woman_face,toy_location_to_woman_body,toy_location_to_toy_present
Eight-0101-1579,1,gwo,8.0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eight-0101-1579,2,gwo,8.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eight-0101-1579,3,gwo,8.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eight-0101-947,1,gwo,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eight-0101-947,2,gwo,8.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eight-0201-1170,2,gwo,8.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Eight-0201-1464,1,gwo,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Eight-0201-1464,2,gwo,8.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eight-0201-1464,3,gwo,8.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Eight-0301-1658,1,gwo,8.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eight-0301-1658,2,gwo,8.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eight-0301-1658,5,gwo,8.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
